Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
T2023003071,Building Residential - Rehab,Accessory Apartment,1/16/2023 6:00,16367,706 B CURREY RD,NASHVILLE,TN,LOT 1 GLENCLIFF ESTATES SEC 2 RESUB LOT 57,Aghabee General Contractors,CARR,CAA10R301,"To convert 827.8 SF of a proposed new construction dwelling (permit# CARN T2023003070) into accessory apartment per plan. Area of the accessory apartment is 21% of main dwelling area. A kitchen (approx. 135 sq ft) will be added to the accessory apartment as part of this permit. Interior work only, no exterior work.    I, holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code*     For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs",16,-86.71650461,36.1189802,3573,37217,-9653237.137,4317005.238
T2023068470,Building Residential - New,"Accessory Structure, Pools - Residential",9/15/2023 5:00,91078,5328 B FOREST ACRES DR,NASHVILLE,TN,LOT 94 OAK HILL ESTATES SEC. 1,MTB POOLS LLC  dba River Pools Nashville,CARN,CAA14U017,Installation of a 15x32 in-ground pool.,25,-86.78208021,36.05228516,3574,37220,-9660536.979,4307818.116
T2023003091,Building Commercial - Rehab,"Medical Office, Professional Services",1/17/2023 6:00,0,836 DICKERSON PIKE,NASHVILLE,TN,LOTS 3 4 5 6 PT 7 LOVE & HAIL SUB BROWN,rob jacknewitz,CACR,CAE04B016,"to conduct interior renovations to existing building for dedicated senior medical center. no change to footprint.  rob Jacknewitz  You have been invited by Sykes, Ronya (Codes) to join a Bluebeam Studio Session:     T2023003091 DSMC  Session ID: 212-004-779  Session URL: https://epr.nashville.gov/hyperlink.html?link=epr.nashville.gov/sessions/212-004-779",5,-86.77386325,36.18652258,3575,37207,-9659622.271,4326317.037
T2023003125,Building Residential - New,Single Family Residence,1/17/2023 6:00,323105,2208 EASTLAND AVE,NASHVILLE,TN,UNIT 1 SHELBY GREEN,HARPETH VALLEY HOMES LLC,CARN,CAA01R301,NEW SFD ON SLAB FOUNDATION MEASURING 2665 SF WITH A FRONT PORCH OF 54 SF AND REAR DECK OF 130 SF. UNDER MASTER PERMIT # 2021049038.  SP ZONING.,6,-86.72748129,36.18165756,3576,37206,-9654459.055,4325646.048
T2023002562,Building Residential - New,"Accessory Structure, Garage",1/13/2023 6:00,26372,2305 C2 EASTLAND AVE,NASHVILLE,TN,UNIT 3 EASTLAND & RIVERSIDE TOWNHOMES,DREAM BUILDERS CONSTRUCTION LLC,CARN,CAA14U009,"to construct 1092SF detached garage with flex space to the rear of existing single family residence. 3' min. side setback, 3' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16’ to eave line. ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***",6,-86.72500284,36.18172807,3577,37206,-9654183.155,4325655.772
T2023068700,Building Use & Occupancy,Master Permit Application,9/18/2023 5:00,0,827 E RAMSEY ST,NASHVILLE,TN,COMMON AREA 827 RAMSEY STREET TOWNHOMES AMENDED & PT CLOSED ALLEY,rick wells,CAUO,CAZ03A001,this permit to reflect change of contactor for permit 2020047152.    MASTER PERMIT ONLY… … NO CONSTRUCTION… …RESIDENTAL ... …4 UNITS TOTAL… …FRONT BUILDING UNITS 1 & 2... ...REAR BUILDING UNITS 3 & 4... ...,5,-86.75745253,36.17725814,3578,37206,-9657795.438,4325039.311
T2023003140,Building Commercial - Addition,"Bar Or Nightclub, Tavern And Bars",1/17/2023 6:00,1200000,1034 4TH AVE S,NASHVILLE,TN,PT OF LOTS 2 & 3 HOLTS PLAN,alex spiros,CACA,CAF06A204,to conduct interior renovations to existing building for nashville tractor (bar). no change to footprint.  alex spiros,17,-86.76820643,36.14754565,3579,37210,-9658992.557,4320942.464
T2023068707,Building Residential - New,"Multifamily, Townhome",9/18/2023 5:00,32479,827 B RAMSEY ST,NASHVILLE,TN,UNIT 2 827 RAMSEY STREET TOWNHOMES AMENDED,rick wells,CARN,CAA03R301,"this permit to reflect change of contractor for permit 2020057024.    TO CONSTRUCT A SINGLE-FAMILY TOWNHOME RESIDENCE …UNIT 2…WITH 1578 SF LIVING AREA, 385 SF ATTACHED GARAGE AND 274 SF PORCH AREA… …827 RAMSEY STREET TOWNHOMES… …SEE MASTER PERMIT CAUO-2020047152      ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",5,-86.75749968,36.17741063,3580,37206,-9657800.687,4325060.34
T2023003227,Building Residential - New,Single Family Residence,1/17/2023 6:00,0,2620 AIRPARK DR,NASHVILLE,TN,UNIT B 2610 COLBERT HOMES AMENDED,BUILD TRUST HOMES LLC,CARN,CAA01R301,"REJECTED: PARCEL IS LOCATED WITHIN A CONTEXTUAL OVERLAY DISTRICT. AS PROPOSED THE NEW CONSTRUCTION DOES NOT COMPLY WITH 17.36.470. THIS APPLICATION TO BE CANCELED. 17.36.470 DESIGN GUIDELINES ATTACHED, MUST REAPPLY WITH NEW DESIGN.    to build a new single family home 2385 SQFT, with 455 SQFT Garage.",7,-86.70647818,36.19005655,3581,37206,-9652121.0,4326804.472
T2023068714,Building Residential - New,"Multifamily, Townhome",9/18/2023 5:00,19155,827 C RAMSEY ST,NASHVILLE,TN,UNIT 3 827 RAMSEY STREET TOWNHOMES AMENDED,rick wells,CARN,CAA03R301,"this permit to reflect change of contractor for permit 2020057029.    TO CONSTRUCT A SINGLE-FAMILY TOWNHOME RESIDENCE …UNIT 3…WITH 969 SF LIVING AREA AND 423 SF PORCH AREA… …827 RAMSEY STREET TOWNHOMES… …SEE MASTER PERMIT CAUO-2020047152    ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",5,-86.75757201,36.17751948,3582,37206,-9657808.739,4325075.352
T2023003242,Building Residential - New,"Accessory Structure, Garage",1/17/2023 6:00,21445,2208 B EASTLAND AVE,NASHVILLE,TN,UNIT 1 SHELBY GREEN,HARPETH VALLEY HOMES LLC,CARN,CAA14U009,NEW GARAGE MEASURING 444 SF. UNDER MASTER PERMIT # 2021049038.  SP ZONING.***RESTRICTIVE COVENANT FOR DETACHED STRUCTURE 20230201-0007376,6,-86.72751593,36.18164149,3583,37206,-9654462.911,4325643.831
T2023003269,Building Use & Occupancy,Master Permit Application,1/17/2023 6:00,0,600 SOUTHGATE AVE,NASHVILLE,TN,PT LOT 14 J P WILLIAMS,ELITE CONSTRUCTORS INC,CAUO,CAZ03A001,"Master permit only, no construction. For multi-family residential project: 600 Southgate Ave. 3 duplex bldgs., 6 units total. Must comply with UDO.",17,-86.769068,36.13623838,3584,37203,-9659088.466,4319383.792
T2023068725,Building Residential - New,"Multifamily, Townhome",9/18/2023 5:00,19155,827 D RAMSEY ST,NASHVILLE,TN,UNIT 4 827 RAMSEY STREET TOWNHOMES AMENDED,rick wells,CARN,CAA03R301,"TO CONSTRUCT A SINGLE-FAMILY TOWNHOME RESIDENCE …UNIT 4…WITH 969 SF LIVING AREA AND 423 SF PORCH AREA… …827 RAMSEY STREET TOWNHOMES… …SEE MASTER PERMIT CAUO-2020047152    ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",5,-86.75763438,36.1775094,3585,37206,-9657815.682,4325073.962
T2023069187,Building Residential - New,Single Family Residence,9/19/2023 5:00,209165,1823 RIVER DR,NASHVILLE,TN,UNIT 1823 1823 & 1825 RIVER DRIVE,"C & H PROPERTIES, LLC",CARN,CAA01R301,"1823 River Drive (left unit) to construct 1630SF single family residence with two stories and a 95SF covered front porch and 144SF uncovered rear deck. Front contextual setback at 40.6’, plans show 40.8, 6’ min between the units, 8' min. side setback (per SP) and 20’ min. rear setback. Detached unit 1 of 2. Parent Parcel # is 08101004600. Not to be over any easements.  24' Minimum House Width per SP - Unit is 30’ wide. Height cannot exceed a ratio of 1.0 Horizontal to 1.5 Vertical. Unit is 30' wide so max height allowed is 45’ – Plans show 28’. Previous existing residence at 1823 River Drive was demolished (Demo Permit#2022013748).  SIDEWALKS NOT REQUIRED.   ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I, holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***. Must comply fully with metro council bills 2014-725 and 2014-770.",1,-86.83097503,36.18988915,3586,37218,-9665979.925,4326781.382
T2023003277,Building Residential - Addition,Single Family Residence,1/17/2023 6:00,0,122 BLACKBURN AVE,NASHVILLE,TN,"LOT 60 BRANSFORD REALTY CO, BELLE MEADE GOLF LINKS",McKenzie Construction,CARA,CAA01R301,SITE PLAN REQUIRED FOR PROJECT TYPE. MUST SHOW PROPOSED ADDITION RELATIVE TO EXISTING RESIDENCE AND PARCEL.  IF ADDITION IS LOCATED ALONG FRONT OF EXISTING RESIDENCE A CONTEXTUAL SURVEY IS ALSO REQUIRED.      Adding 829 sq. ft of heated space on to first floor of existing home along with a garage and porch (1068 sq ft). Adding 1200 sq ft of heated space to second floor.,23,-86.86419023,36.09941562,3587,37205,-9669677.425,4314309.445
T2023068731,Building Use & Occupancy,Master Permit Application,9/18/2023 5:00,0,1220 B N 5TH ST,NASHVILLE,TN,COMMON AREA 1220 NORTH 5TH STREET TOWNHOMES AMENDED,rick wells,CAUO,CAZ03A001,this permit to reflect change of contractor for permit 2020066379.    MASTER PERMIT NO CONSTRUCTION THS PERMIT  5 SINGLE FAMILY TOWNHOMES  POC JOHN ROOT 615-292-2142  Sidewalks ARE required for this project because this parcel is within the USD.  You are NOT eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction because the parcel is within the UZO.,5,-86.76210286,36.19356493,3588,37207,-9658313.111,4327288.399
T2023003347,Building Residential - New,Single Family Residence,1/17/2023 6:00,281519,6117 A PENNSYLVANIA AVE,NASHVILLE,TN,UNIT A HOMES AT 6117 PENNSYLVANIA AVENUE,PREMIER CONTRACTING LLC,CARN,CAA01R301,"TO CONSTRUCT UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 2217 SQFT OF LIVING AREA … …210 SQFT PORCH/DECK AREA… …UNITS ATTACHED… …26.5' MIN FRONT SETBACK… …5’ MIN SIDE SETBACK… …20’ MIN REAR SETBACK… …MAX BLDG HEIGHT 3 STORIES/45 FEET… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    NO PARKING ALLOWED BETWEEN PENNSYLVANIA AVE STREET LINE AND FRONT EDGE OF THE RESIDENTIAL STRUCTURE.    FOR EVERY 30 FEET OF STREET FRONTAGE OR FRACTION THEREOF, ONE 2-INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.    FOR EVERY 50 FEET OF SITE FRONTAGE A DOUBLE-SIDED SIGN 24 X36' IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",20,-86.86260933,36.16549229,3589,37209,-9669501.44,4323416.815
T2023069196,Building Residential - New,Single Family Residence,9/19/2023 5:00,203755,1825 RIVER DR,NASHVILLE,TN,UNIT 1825 1823 & 1825 RIVER DRIVE,"C & H PROPERTIES, LLC",CARN,CAA01R301,"1825 River Drive (right unit) to construct 1630SF single family residence with two stories and a 110SF covered front porch and 144SF covered and screened rear deck. Front contextual setback at 40.6’, plans show 47’, 6’ min between the units, 8' min. side setback (per SP) and 20’ min. rear setback. Detached unit 2 of 2. Parent Parcel # is 08101004600. Not to be over any easements.  24' Minimum House Width per SP - Unit is 41.7’ wide. Height cannot exceed a ratio of 1.0 Horizontal to 1.5 Vertical. Unit is 41.7' wide so max height allowed is 45’ – Plans show 30.1’. Previous existing residence at 1823 River Drive was demolished (Demo Permit#2022013748). SIDEWALKS NOT REQUIRED.   ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I, holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***. Must comply fully with metro council bills 2014-725 and 2014-770.",1,-86.83089375,36.19002702,3590,37218,-9665970.877,4326800.399
T2023069207,Building Commercial - Tenant Finish Out,"Retail, Department / Retail Stores",9/19/2023 5:00,0,4720 GALLATIN PIKE,NASHVILLE,TN,UNIT 4720 HAYSBORO,adam kan,CACT,CAF20M001,to conduct finish out work to white box status. future tenant will require separate build out permit.,7,-86.7247518,36.23107423,3591,37216,-9654155.21,4332463.59
T2023003351,Building Residential - New,Single Family Residence,1/17/2023 6:00,281519,6117 B PENNSYLVANIA AVE,NASHVILLE,TN,UNIT B HOMES AT 6117 PENNSYLVANIA AVENUE,PREMIER CONTRACTING LLC,CARN,CAA01R301,"TO CONSTRUCT UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 2217 SQFT OF LIVING AREA … …210 SQFT PORCH/DECK AREA… …UNITS ATTACHED… …26.5' MIN FRONT SETBACK… …5’ MIN SIDE SETBACK… …20’ MIN REAR SETBACK… …MAX BLDG HEIGHT 3 STORIES/45 FEET… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    NO PARKING ALLOWED BETWEEN PENNSYLVANIA AVE STREET LINE AND FRONT EDGE OF THE RESIDENTIAL STRUCTURE.    FOR EVERY 30 FEET OF STREET FRONTAGE OR FRACTION THEREOF, ONE 2-INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.    FOR EVERY 50 FEET OF SITE FRONTAGE A DOUBLE-SIDED SIGN 24 X36' IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",20,-86.86267445,36.16552452,3592,37209,-9669508.689,4323421.259
T2023069213,Building Residential - Tenant Finish Out,"Multifamily, Condominium > 5 Unit Bldg",9/19/2023 5:00,74563,1092 HAYSBORO AVE,NASHVILLE,TN,UNIT 1092 HAYSBORO,adam kan,CART,CAA03R299,"to construct 615Sf single family residence. Shell permit 2023023944.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72452042,36.23110257,3593,37216,-9654129.452,4332467.501
T2023003355,Building Residential - New,Single Family Residence,1/17/2023 6:00,301140,6119 PENNSYLVANIA AVE,NASHVILLE,TN,UNIT A HOMES AT 6119 PENNSYLVANIA AVENUE,PREMIER CONTRACTING LLC,CARN,CAA01R301,"TO CONSTRUCT UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 2247 SQFT OF LIVING AREA … …538 SQFT OF ATTACHED GARAGE AREA… …45 SQFT PORCH/DECK AREA… …UNITS DETACHED… …26.5' MIN FRONT SETBACK… …10' MIN SIDE/STREET SETBACK (62ND AVE N)... ...5’ MIN SIDE SETBACK… …20’ MIN REAR SETBACK… …6’ MIN. DISTANCE BETWEEN UNITS… …MAX BLDG HEIGHT 3 STORIES/45 FEET… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    20' MINIMUM STREET SETBACK FOR GARAGE DOOR FACING 62ND AVENUE N.    NO PARKING ALLOWED BETWEEN PENNSYLVANIA AVE STREET LINE AND FRONT EDGE OF THE RESIDENTIAL STRUCTURE.    FOR EVERY 30 FEET OF STREET FRONTAGE OR FRACTION THEREOF, ONE 2-INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.    FOR EVERY 50 FEET OF SITE FRONTAGE A DOUBLE-SIDED SIGN 24 X36' IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",20,-86.86271788,36.16560212,3594,37209,-9669513.523,4323431.959
T2023003358,Building Residential - New,Single Family Residence,1/17/2023 6:00,342658,1306 62ND AVE N,NASHVILLE,TN,UNIT B HOMES AT 6119 PENNSYLVANIA AVENUE,PREMIER CONTRACTING LLC,CARN,CAA01R301,"MUST LABEL 20' MINIMUM STREET SETBACK TO GARAGE DOOR FACING 62ND AVE N    TO CONSTRUCT FRONT REAR UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 2613 SQFT OF LIVING AREA … …509 SQFT OF ATTACHED GARAGE AREA… …21 SQFT PORCH/DECK AREA… …UNITS DETACHED… …26.5' MIN FRONT SETBACK… …10' MIN SIDE/STREET SETBACK (62ND AVE N)... ...5’ MIN SIDE SETBACK… …20’ MIN REAR SETBACK… …6’ MIN. DISTANCE BETWEEN UNITS… …MAX BLDG HEIGHT 3 STORIES/45 FEET… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    20' MINIMUM STREET SETBACK FOR GARAGE DOOR FACING 62ND AVENUE N.    NO PARKING ALLOWED BETWEEN PENNSYLVANIA AVE STREET LINE AND FRONT EDGE OF THE RESIDENTIAL STRUCTURE.    FOR EVERY 30 FEET OF STREET FRONTAGE OR FRACTION THEREOF, ONE 2-INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.    FOR EVERY 50 FEET OF SITE FRONTAGE A DOUBLE-SIDED SIGN 24 X36' IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",20,-86.86290575,36.16543821,3595,37209,-9669534.437,4323409.358
T2023069217,Building Residential - Tenant Finish Out,"Multifamily, Condominium > 5 Unit Bldg",9/19/2023 5:00,77109,1094 HAYSBORO AVE,NASHVILLE,TN,UNIT 1094 HAYSBORO,adam kan,CART,CAA03R299,"to construct 636Sf single family residence. Shell permit 2023023944.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72444531,36.23109586,3596,37216,-9654121.091,4332466.575
T2023003445,Building Residential - New,Single Family Residence,1/17/2023 6:00,720444,3911 A CROSS CREEK RD,NASHVILLE,TN,UNIT A HOMES AT 3911 CROSS CREEK ROAD,"RICHLAND BUILDING PARTNERS, LLC",CARN,CAA01R301,"To construct unit of proposed horizontal property line regime with 5,768SF living area, 625SF atached garage and 250SF porch. 10' min. side setback, 20' min. rear setback, front setback at 57.9' per avg. 6' minimum distance between units, detached unit 1 of 2. lot coverage is limited to 35% of 23,744SF lot area (includes both buildings). not to be over any easements. Max height permitted is 3 stories/39 feet.     ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code*     For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*     For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***",34,-86.82228378,36.10582979,3597,37215,-9665012.42,4315193.176
T2023069228,Building Commercial - Tenant Finish Out,"Multifamily, Condominium > 5 Unit Bldg",9/19/2023 5:00,75411,1090 HAYSBORO AVE 105,NASHVILLE,TN,UNIT 105 HAYSBORO,adam kan,CACT,CAA03R299,"to construct 622Sf single family residence. Shell permit 2023023944.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72472422,36.23098013,3598,37216,-9654152.139,4332450.604
T2023003447,Building Residential - New,Single Family Residence,1/17/2023 6:00,730104,3911 B CROSS CREEK RD,NASHVILLE,TN,UNIT B HOMES AT 3911 CROSS CREEK ROAD,"RICHLAND BUILDING PARTNERS, LLC",CARN,CAA01R301,"To construct unit of proposed horizontal property line regime with 5,768SF living area, 625SF atached garage and 250SF porch. 10' min. side setback, 20' min. rear setback, front setback at 57.9' per avg. 6' minimum distance between units, detached unit 1 of 2. lot coverage is limited to 35% of 23,744SF lot area (includes both buildings). not to be over any easements. Max height permitted is 3 stories/39 feet.     ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code*     For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*     For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***",34,-86.82272647,36.10587088,3599,37215,-9665061.7,4315198.838
T2023069232,Building Residential - Tenant Finish Out,"Multifamily, Condominium > 5 Unit Bldg",9/19/2023 5:00,75896,1090 HAYSBORO AVE 106,NASHVILLE,TN,UNIT 106 HAYSBORO,adam kan,CART,CAA03R299,"to finish out unit 106 626Sf . Shell permit 2023023944.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72460787,36.23093838,3600,37216,-9654139.187,4332444.842
T2023003564,Building Residential - New,"Accessory Structure, Garage",1/18/2023 6:00,32458,2916 B SHEANA WAY,ANTIOCH,TN,LOT 101-B CHELSEA OF PRIEST LAKE SEC 2-B ZONE LOT DIV,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA14U009,"To construct a 24' X 28' (672 sq ft) detached accessory structure to be used as a garage/workshop. TO be located behind the principal structure and proposed to be 10' from the rear property line, 15' from side property line, 3' from the interior zero lot line and 5' from the principal structure per plan.    The structure shall not be used as additional living/sleeping area or for commercial purposes. Is not to be used as an accessory dwelling unit. Shall not be constructed over any easements.    THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",29,-86.60383719,36.08092626,3601,37013,-9640695.057,4311762.422
T2023069246,Building Residential - Tenant Finish Out,"Multifamily, Condominium > 5 Unit Bldg",9/19/2023 5:00,109722,1090 HAYSBORO AVE 107,NASHVILLE,TN,UNIT 107 HAYSBORO,adam kan,CART,CAA03R299,"to construct 905Sf single family residence. Shell permit 2023023944.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72473112,36.23089806,3602,37216,-9654152.908,4332439.278
T2023003664,Building Use & Occupancy,"Retail, Department / Retail Stores",1/18/2023 6:00,250000,2803 12TH AVE S 104,NASHVILLE,TN,PT LOTS 36-37-38-39-40 VICTORIA PLACE,"CITY Construction, LLC",CAUO,CAF20M001,"Interior build out of 1,500 SF retail space located 2803 12th Ave S Suite 104",18,-86.79034061,36.12226686,3603,37204,-9661456.523,4317458.172
