Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date Issued,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y,Permit Description
T2023056611,Building Residential - New,Single Family Residence,043150B00700CO,8/15/2023 5:00,,217116,910 OLD HICKORY BLVD E 7,MADISON,TN,UNIT 7 OLD HICKORY TRACE,RIVERSIDE REMODELING AND CONSTRUCTION LLC,CARN,CAA01R301,4364692,"Single Family Residence , Unit 7.  Slab on grade.  House  A  on attached plans.  Total SQFT 1,961  Floor 1- 717 SQFT, Floor 2- 974 SQFT.  Stoop - 37 SQFT, Garage - 232 SQFT, 40' MIN FRONT SETBACK...5' MIN SIDE SETBACK...20' MIN REAR SETBACK...6' MIN DISTANCE BETWEEN BUILDINGS...MAX HEIGHT AT SETBACK 30'.  Master Permit Number: CAUO 2020062603",9,-86.68986616,36.26216697,2333,37115,-9650271.758,4336755.365,Building Residential New
T2023057092,Building Residential - Rehab,"Multifamily, Townhome",104020C11100CO,8/15/2023 5:00,,128360,205 31ST AVE N 111,NASHVILLE,TN,UNIT 111 MIDTOWN LOFTS CONDOMINIUMS 4TH AMEND,CART ELECTRIC CO,CARR,CAA03R301,4365506,"Remodeling - kitchen, master bath, guest bath, and cosmetics thru out ",21,-86.81668162,36.14451313,2336,37203,-9664388.79,4320524.419,Building Residential Rehab
T2023057110,Building Residential - Addition,Single Family Residence,8404002000,8/21/2023 5:00,,242433,2504 MEADOWOOD DR,NASHVILLE,TN,LOT 46 SEC 4 MCGAVOCK HGTS,JADORE LUXURY HOMES LLC,CARA,CAA01R301,4365538,"Remodel & Additiion							 Demo, 13'x18' Addition, Framing, Plumbing, HVAC Electical, Insulation, Drywall, Flooring, Cabinets, Countertops, Trim, Shelving, Paint							 ",15,-86.67410258,36.18819791,2337,37214,-9648516.964,4326548.11,Building Residential Addition
T2023057111,Building Residential - New,Single Family Residence,9402000700,8/16/2023 5:00,,683029,1625 LONG AVE,NASHVILLE,TN,LOT 178 EDGEFIELD LAND CO 1,DREAM BUILDERS CONSTRUCTION LLC,CARN,CAA01R301,4365540,"to construct a single family residence with 5362 sf living area and 682 sf porch.  RS5 Zoning.  maximum allowed lot coverage is 3750 sf.  20.6425' min front s/b; 5' min side s/b; 20' min rear s/b.  maximum allowed height is 45' three floors maximum.    must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6,-86.74086289,36.16946151,2338,37206,-9655948.688,4323964.138,Building Residential New
T2023057114,Building Residential - New,"Accessory Structure, Garage",9402000700,8/16/2023 5:00,,32844,1625 B LONG AVE,NASHVILLE,TN,LOT 178 EDGEFIELD LAND CO 1,DREAM BUILDERS CONSTRUCTION LLC,CARN,CAA14U009,4365543,"RESTRICTIVE COVENANT FOR DETACHED STRUCTURE 20230922-0074551  to construct a detached storage building.  not to be used for living or commercial purposes.  no tub/shower allowed in structure.  no stove/range allowed in structure.  UZO.  maximum allowed knee wall height is 16'.  5' min side s/b; 10' min rear s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6,-86.74085735,36.16953708,2339,37206,-9655948.071,4323974.559,Building Residential New
T2023057117,Building Residential - New,"Accessory Structure, Pools - Residential",9402000700,8/16/2023 5:00,,120000,1625 C LONG AVE,NASHVILLE,TN,LOT 178 EDGEFIELD LAND CO 1,DREAM BUILDERS CONSTRUCTION LLC,CARN,CAA14U017,4365545,"to install an in ground swimming pool to the rear of residence to comply with IRC fencing codes and State of Tennessee pool alarm laws copy of pool alarm purchase attached to application.  5' min side s/b; 20' min rear s/b.  ALL ABOVE GROUND POOL EQIPMENT AND SPA MUST BE LOCATED OUTSIDE OF REQUIRED SETBACKS.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6,-86.74086289,36.16946151,2340,37206,-9655948.688,4323964.138,Building Residential New
T2023057290,Building Residential - New,"Accessory Structure, Garage",6110011000,8/16/2023 5:00,,57960,3852 B SAUNDERS AVE,NASHVILLE,TN,LOT 3 MAPLEWOOD HGTS RESUB,Stoltz Co,CARN,CAA14U009,4365777,"To construct an 30ft x 40ft Detached Garage to be used for storage and maintenance of personal vehicles. To be placed in the rear of the primary structure, Not to be used as a living quarters, sleeping quarters, nor any commercial activities. Rear setback is 20ft and side setbacks are 10ft.",7,-86.73654719,36.22081918,2342,37216,-9655468.266,4331048.446,Building Residential New
T2023057353,Building Residential - New,Duplex,14200002300,8/16/2023 5:00,,0,6962 HIGHWAY 70 S,NASHVILLE,TN,N SIDE HWY 70S E OF OLD HICKORY BLVD,jeff stromatt,CARN,CAA02R302,4365834,(3) Duplexes  6962 HYW. 70 South,23,-86.91385331,36.07749685,2343,37221,-9675205.893,4311290.065,Building Residential New
T2023057427,Building Residential - New,"Multifamily, Apt / Twnhome > 5 Unit Bldg",141060C00100CO,8/16/2023 5:00,,0,3000 HARPETH SPRINGS DR,NASHVILLE,TN,OPEN SPACE  RIVERBRIDGE COMMUNITY PH 1 A,GROUND UP FOUNDATION REPAIR,CARN,CAA03R399,4366007,Cast in place engineered retaining wall,22,-86.97644383,36.07344954,2344,37221,-9682173.438,4310732.628,Building Residential New
T2023057496,Building Residential - Addition,"Accessory Structure, Decks",13405004700,8/16/2023 5:00,,0,3442 DONNA KAY DR,NASHVILLE,TN,LT 110 GREENWOOD HILLS ADD'N TO SEC 4,john raimi,CARA,CAA14U015,4366121,"to construct SF front deck to the front of existing duplex. front setback at ' per average. not to be over any easements.   ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.",30,-86.71027675,36.09587861,2345,37211,-9652543.854,4313822.153,Building Residential Addition
T2023057226,Building Residential - New,"Accessory Structure, Pools - Residential",117140K00100CO,8/16/2023 5:00,,50000,3911 A2 CROSS CREEK RD,NASHVILLE,TN,UNIT A HOMES AT 3911 CROSS CREEK ROAD,RICHLAND BUILDING PARTNERS LLC,CARN,CAA14U017,4365707,"TO CONSTRUCT A 216SF POOL TO THE REAR OF A RESIDENCE WITH REQUIRED FENCING AND STATE OF TENNESSEE POOL ALARM LAWS. 10' MIN SIDE S/B; 20' MIN REAR S/B. MUST COMPLY WITH IRC FENCING CODES. PROOF OF POOL ALARM PURCHASE ATTACHED. ***PURSUANT TO ORDINANCE NO 2008-1263 OF THE METROPOLITAN CODE OF LAWS, I , HOLDER OF THIS PERMIT, HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE. FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.*",34,-86.82194029,36.10583257,2346,37215,-9664974.183,4315193.559,Building Residential New
T2023057232,Building Residential - New,"Accessory Structure, Pools - Residential",117140K00200CO,8/16/2023 5:00,,50000,3911 B2 CROSS CREEK RD,NASHVILLE,TN,UNIT B HOMES AT 3911 CROSS CREEK ROAD,RICHLAND BUILDING PARTNERS LLC,CARN,CAA14U017,4365715,"TO CONSTRUCT A 216SF POOL TO THE REAR OF A RESIDENCE WITH REQUIRED FENCING AND STATE OF TENNESSEE POOL ALARM LAWS. 10' MIN SIDE S/B; 20' MIN REAR S/B. MUST COMPLY WITH IRC FENCING CODES. PROOF OF POOL ALARM PURCHASE ATTACHED. ***PURSUANT TO ORDINANCE NO 2008-1263 OF THE METROPOLITAN CODE OF LAWS, I , HOLDER OF THIS PERMIT, HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE. FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.*",34,-86.82194029,36.10583257,2347,37215,-9664974.183,4315193.559,Building Residential New
T2023057639,Building Residential - Rehab,Single Family Residence,14606003200,8/16/2023 5:00,,0,5004 BRENTVIEW CT,NASHVILLE,TN,LOT 4 FIELDCREST EST,"SIMMONS, RICHIE",CARR,CAA01R301,4366303,Kitchen remodel to existing home with new cabinets and appliances,25,-86.77665797,36.07117837,2348,37220,-9659933.378,4310419.831,Building Residential Rehab
T2023057552,Building Residential - New,"Multifamily, Tri-Plex, Quad, Apartments",4315013500,8/16/2023 5:00,,0,1020 C OLD HICKORY BLVD E,MADISON,TN,PT OF LOTS 11 TH 14 BLK B ANDERSON SUB & ACREAGE TRACT,GLOBAL INFRASTRUCTURE INC,CARN,CAA03R398,4366166,Installation of two entrance monument signs on a 54 SFH subdivision. ,9,-86.68600159,36.26027765,2349,37115,-9649841.556,4336494.531,Building Residential New
T2023057809,Building Residential - New,Single Family Residence,090161E90000CO,8/17/2023 5:00,,0,515 C SCHOLARSHIP DR,NASHVILLE,TN,COMMON AREA HOMES AT ACHIEVEMENT AND SCHOLARSHIP,SKYMONT BUILDING GROUP LLC,CARN,CAA01R301,4366540,Construction of two dwellings on lot,20,-86.88081672,36.15056398,2350,37209,-9671528.277,4321358.57,Building Residential New
T2023058203,Building Residential - Addition,Single Family Residence,10514014300,8/18/2023 5:00,,186831,2217 LINDELL AVE,NASHVILLE,TN,"LOT 21 PT LOT 22 BLK 19, YARBROUGHS SUB WOODLAND",UCD ENTERPRISES LLC,CARA,CAA01R301,4367072,"***PER HOLLY PERRY NO LONGER DOING THIS WORK WANTS APP CANCELED ---TP EMAIL ATTACHED *****        UCD is proposing to build an addition onto the home at 2217 Lindell Avenue. The addition to the home will be on CMU and have a small crawl space. The crawlspace is to be encapsulated.  There will be two parts to the addition of the home, one in the back of the home and another to the left side of the home. The home will be framed to have 3 bedrooms & 3 baths with four (4) exterior doors and forty-eight (48) windows. New HVAC system will be installed, new electrical will be installed with four (4) exhaust fans and fifty (50) can lights, new plumbing will be installed with a free-standing tub and sauna in the master bath along with three (3) showers and three (3) toilets. The exterior will have a shingle roof, hardie lap siding with a stone veneer wall on the front-left side of the addition. Rockwool insulation will be used for the walls and closed cell in the ceiling and attic. New drywall, trim, cabinets and granite countertops will be installed. Engineered flooring will be installed with hardwood stair treads. Tile flooring will be installed in the wet areas totalling approximately 713 square feet, wall tile to be installed for shower surrounds is approximately 256 square feet along with kitchen tile backsplash, two (2) large glass shower doors and two (2) small glass shower doors. Basic landscaping and a driveway will be installed. Rear setback is 20ft and side setbacks are 5ft unless changed by historical commission.",17,-86.77441669,36.13003069,2351,37204,-9659683.88,4318528.177,Building Residential Addition
T2023058426,Building Residential - New,"Accessory Structure, Pools - Residential",2800014300,8/18/2023 5:00,,12183,5018 B RIDGE HILL DR,JOELTON,TN,LOT 1 FERRIS REED PROPERTY,Shirley Lopehandia,CARN,CAA14U017,4367403,"To Install an above ground accessory swimming pool to the rear/side of residences to comply with IRC fencing codes and the state of TN pool alarm laws. Interior parcel, 20’ ft sides setback and , 20’ft rear setback.",1,-86.92697932,36.28450536,2352,37080,-9676667.074,4339839.819,Building Residential New
T2023058437,Building Residential - New,"Multifamily, Townhome",114151B07500CO,8/18/2023 5:00,,150443,615 OLD HICKORY BLVD 736,NASHVILLE,TN,UNIT 75 HARPETH HEIGHTS TOWNHOMES AMENDED,BEAZER HOMES LLC,CARN,CAA03R301,4367420,To build a 1209 sq. ft. single family unit with an 80 sq. ft front porch.  To be built under Master Permit # 2021028049.,22,-86.92718378,36.10728453,2353,37209,-9676689.835,4315393.617,Building Residential New
T2023058598,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",083042E00100CO,8/18/2023 5:00,,33810,2106 A ROSECLIFF DR,NASHVILLE,TN,UNIT 2106A 2106 ROSECLIFF DRIVE COMMONS AMENDED,NOVA CONSTRUCTORS LLC,CARN,CAA14U011,4367745,"RESTRICTIVE COVENANT FOR DETACHED STRUCTURE: 20240702-0049883 MJ 7/2/24***To construct an 20ft x35ft detached accessory building, to be placed in the rear of the primary structure. Not to be used as a living quarters, sleeping quarters, nor any commercial activities. Rear setback is 20ft and side setbacks are 5ft.",7,-86.71286125,36.19051088,2354,37206,-9652831.56,4326867.139,Building Residential New
T2023058778,Building Residential - New,Single Family Residence,050070C23900CO,8/21/2023 5:00,,184902,4552 SKYWOOD LN,NASHVILLE,TN,UNIT 239 SKYRIDGE PH 3,MERITAGE HOMES OF TENNESSEE INC,CARN,CAA01R301,4367968,New TH construction - Unit total sq footage 1714 - 1st fl 571; 2nd fl 829; Garage 247; Entry/Shed 67.  PUDR.  townhome residence.,3,-86.76692321,36.25018836,2355,37207,-9658849.709,4335101.738,Building Residential New
T2023058832,Building Residential - New,"Multifamily, Townhome",133150E00200CO,8/21/2023 5:00,,190711,520 B PARAGON MILLS RD,NASHVILLE,TN,UNIT 2 PARAGON MILLS AMENDED,laura mealey,CARN,CAA03R301,4368062,"to construct 1573Sf single family residence. Master permit 2022037512.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",30,-86.72513511,36.08676418,2356,37211,-9654197.879,4312566.566,Building Residential New
T2023059144,Building Residential - New,Single Family Residence,8111023400,8/21/2023 5:00,,238784,1745 16TH AVE N,NASHVILLE,TN,PT LOT 353 D T MCGAVOCK & OTHERS ADDN,BUILD TRUST HOMES LLC,CARN,CAA01R301,4368513,"TO CONSTRUCT A 2-STORY SINGLE FAMILY DWELLING. 1850 SQ FT OF LIVING AREA and deck/porch areas.  RS5 zoning.  30' min front s/b; 3' min build to side s/b; 20' min rear s/b.  maximum allowed height is 35'.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bill 2013-419.",21,-86.80900683,36.1791276,2357,37208,-9663534.437,4325297.129,Building Residential New
T2023059146,Building Residential - Addition,"Accessory Structure, Garage",7203017000,8/21/2023 5:00,,34776,1309 HOWARD AVE,NASHVILLE,TN,PT LOT 155 INGLEWOOD PLACE,VELER & CO,CARA,CAA14U009,4368514,"Build a 24x30 detached garage behind house.  5' minimum side setback and 20' minimum rear setback.  Demolish 415 sf concrete pad and construct new 150 sf concrete approach from existing asphalt driveway to new garage.  MHZC must review.  not to be used for living or commercial purposes.  RS7.5 base zoning.  5' min side s/b; 20' min rear s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7,-86.72436184,36.21138794,2358,37216,-9654111.799,4329747.146,Building Residential Addition
T2023059159,Building Residential - Addition,Single Family Residence,059080A52500CO,8/21/2023 5:00,,0,101 MCCARTHY PARK LN,NASHVILLE,TN,LOT 525 THE PARK PRESERVE SECOND REVISION,Building Blocks Investment,CARA,CAA01R301,4368532,20x24 master bedroom and bath two sink vanity stand up shower and separate tub,2,-86.79289002,36.23003019,2359,37207,-9661740.322,4332319.51,Building Residential Addition
T2023059180,Building Residential - New,Single Family Residence,104014G00100CO,8/22/2023 5:00,,296404,3502 A WRENWOOD DR,NASHVILLE,TN,UNIT A 3502 WRENWOOD AVENUE TOWNHOMES,H R PROPERTIES OF TENNESSEE,CARN,CAA01R301,4368557,"This permit is to finish out previously issued building permit # 2022032828 for 3502 Wrenwood Drive Unit A, Nashville, TN 37205 due to bankruptcy of General Contractor. HR Properties of Tennessee will be the new General Contractor. The home will be a 2,338 SF single family residence with a 268 SF garage. Construction is approximately 40.0% complete.",24,-86.82390542,36.14272763,2360,37205,-9665192.94,4320278.288,Building Residential New
T2023059187,Building Residential - New,Single Family Residence,104014G00200CO,8/22/2023 5:00,,296404,3502 B WRENWOOD DR,NASHVILLE,TN,UNIT B 3502 WRENWOOD AVENUE TOWNHOMES,H R PROPERTIES OF TENNESSEE,CARN,CAA01R301,4368564,"This permit is to finish out previously issued building permit # 2022032830 for 3502 Wrenwood Drive Unit B, Nashville, TN 37205 due to bankruptcy of General Contractor. HR Properties of Tennessee will be the new General Contractor. The home will be a 2,338 SF single family residence with a 268 SF garage. Construction is approximately 90.0% complete.",24,-86.82396598,36.14275584,2361,37205,-9665199.682,4320282.176,Building Residential New
T2023059196,Building Residential - New,Single Family Residence,104014H00100CO,8/22/2023 5:00,,296404,3504 A WRENWOOD DR,NASHVILLE,TN,UNIT A 3504 WRENWOOD AVENUE TOWNHOMES,H R PROPERTIES OF TENNESSEE,CARN,CAA01R301,4368572,"This permit is to finish out previously issued building permit # 2022032831 for 3504 Wrenwood Drive Unit A, Nashville, TN 37205 due to bankruptcy of General Contractor. HR Properties of Tennessee will be replacing Highland Homes as the new General Contractor. The home will be a 2,338 SF single family residence with a 268 SF garage. Construction is approximately 90.0% complete.",24,-86.82406496,36.14277472,2362,37205,-9665210.7,4320284.779,Building Residential New
T2023059204,Building Residential - New,Single Family Residence,104014H00200CO,8/22/2023 5:00,,296404,3504 B WRENWOOD DR,NASHVILLE,TN,UNIT B 3504 WRENWOOD AVENUE TOWNHOMES,H R PROPERTIES OF TENNESSEE,CARN,CAA01R301,4368580,"This permit is to finish construction on previously issued building permit # 2022032838 for 3504 Wrenwood Drive Unit B, Nashville, TN 37205 due to bankruptcy of General Contractor. HR Properties of Tennessee will be replacing Highland Homes as the new General Contractor. The home will be a 2,338 SF single family residence with a 268 SF garage. Construction is approximately 90.0% complete.",24,-86.82413211,36.1427857,2363,37205,-9665218.175,4320286.293,Building Residential New
T2023059630,Building Residential - New,Single Family Residence,11511010800,8/22/2023 5:00,,819247,506 BROOK HOLLOW RD,NASHVILLE,TN,LOT 180 SEC G WEST MEADE FARMS,Donnelly Timmons & Associates,CARN,CAA01R301,4369135,"We are building a new 5,976 square foot residence at 506 Brook Hollow Rd.......To construct a 5,976 sq ft heated and cool single family residence with ; 591 sq ft of porch and 1370 sq ft of garage. 15' min. side setback, 20' min. rear setback. Front setback at min. 96.8 ft from contextual street survey avg. Not to be over any easements. ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***",23,-86.88739708,36.10920273,2365,37205,-9672260.799,4315657.922,Building Residential New
T2023059806,Building Residential - New,Single Family Residence,032160B04200CO,8/23/2023 5:00,,233191,2172 CREEKLAND VIEW BLVD,NASHVILLE,TN,LOT 42 HERITAGE CREEK PH 2,Goodall Homes,CARN,CAA01R301,4369384,"Single family residence in the Heritage creek community with 1672 sf living area, 508 sf attached garage and 123 sf deck/porch areas.  cluster lot subdivision.  20' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",3,-86.76432604,36.28282907,2368,37207,-9658560.594,4339608.328,Building Residential New
T2023060396,Building Residential - New,"Accessory Structure, Garage",160110A01200CO,8/24/2023 5:00,,57417,41 B ABINGDON CT,BRENTWOOD,TN,LOT 12 HEMMINGWOOD PHASE 1,"KANECO BUILDERS, KANECO ASSET MANAGEMENT LLC DBA",CARN,CAA14U009,4370218,"Construction of new 192 square foot pool house. not to be over any easements. 50' min. rear setback, 7.5' min. side setback.. not to be used for living space or commercial purposes.    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",26,-86.77153861,36.04695117,2374,37027,-9659363.493,4307083.705,Building Residential New
T2023060549,Building Residential - New,Single Family Residence,8302002600,8/24/2023 5:00,,150680,1412 MCKENNIE AVE,NASHVILLE,TN,LOT 13 H M DOAK,HUFFINE FIRST SERVICE,CARN,CAA01R301,4370025,construction of minihouse.,6,-86.74057385,36.19088127,2376,37206,-9655916.512,4326918.228,Building Residential New
T2023060738,Building Residential - New,Single Family Residence,15900014400,8/24/2023 5:00,,0,1244 E HICKORY SPRINGS CT,BRENTWOOD,TN,LOT 9 SEC 2 HICKORY BLVD EST.,"TANT COMPANIES LLC, THE",CARN,CAA01R301,4370847,Trade Permit to Build a house in Forest Hills and the Building Permit is already approved by Forest Hills,34,-86.8196336,36.0444119,2377,37027,-9664717.403,4306734.103,Building Residential New
T2023060753,Building Residential - Rehab,Single Family Residence,8115022200,8/24/2023 5:00,,175000,1712 UNDERWOOD ST,NASHVILLE,TN,PT LOT 409 D T MCGAVOCK AND OTHERS ADDITION,"LAWSON, RONALD DBA THE LIGHT ELECTRICAL SERVICES",CARR,CAA01R301,4370868,1712 Underwood Street rehab:  Add upstairs 800sf of living space with: New Roof  New Windows  New AC ductwork and unit New Flooring New Kitchen and Bathroom cabinets New driveway New plumbing,21,-86.80736174,36.17400597,2378,37208,-9663351.306,4324590.816,Building Residential Rehab
T2023060828,Building Residential - Addition,Single Family Residence,10304015900,8/25/2023 5:00,,4830,4700 NEBRASKA AVE,NASHVILLE,TN,LOT 7 BLK 10 SYLVAN PARK,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARA,CAA01R301,4371003,"To construct a 10' X 10' (100 sq ft) addition to an existing 22' X 27' (594 sq ft) detached accessory structure located to the rear of an existing single-family dwelling. Not to be constructed over any easements.    Was permitted as a non-conforming single-family use in Aug, 1967 (BZA Case #67-95).    APPLICANT ACKNOWLEDGES APPLYING FOR THIS SELF-BUILDING PERMIT FOR PRIMARY RESIDENCE IN OWN NAME & WILL ACT AS OWN CONTRACTOR ACCEPTING FULL RESPONSIBILITY FOR CODE COMPLIANCE, FOR HIRING & EMPLOYING INDIVIDUALS & HAS ULTIMATE RESPONSIBILITY FOR MY OWN WORK & FOR THE WORK OF OTHERS.  ACTING AS MY OWN GENERAL CONTRACTOR, I FURTHER UNDERSTAND THAT I MAY FORFEIT CERTAIN PROTECTIONS, WHICH MIGHT BE AVAILABLE TO ME THROUGH THE STATE OF TENN. GENERAL CONTRACTOR’S LICENSING PROCESS.  I FURTHER ACKNOWLEDGE THAT AS A SELF-BUILDING PERMIT HOLDER I AM RESPONSIBLE FOR REQUESTING ALL REQUIRED INSPECTIONS & COMPLETING ALL AUTHORIZED WORK IN COMPLIANCE WITH APPLICABLE ADOPTED CODES. I FURTHER UNDERSTAND THAT SEPARATE PERMITS ARE REQUIRED FOR ANY PROPOSED ELECTRICAL, PLUMBING, & GAS/MECHANICAL WORK AND IS NOT PART OF THIS BUILDING PERMIT… …    THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE WILL BE DISPOSED IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",24,-86.84320174,36.14350973,2379,37209,-9667340.997,4320386.1,Building Residential Addition
T2023060984,Building Residential - New,Single Family Residence,3000018400,8/25/2023 5:00,,420771,4732 WHITES CREEK PIKE,WHITES CREEK,TN,LOT 3  H. EUGENE MARTIN LAND SEC. 2,Innovative Builds LLC,CARN,CAA01R301,4371226,"TO CONSTRUCT SINGLE FAMILY RESIDENCE WITH 2940 SQFT OF LIVING AREA … …497 SQFT OF ATTACHED GARAGE AREA… …400 SQFT PORCH/DECK AREA… …2044 SQFT UNFINISHED BASEMENT... ...130' MIN FRONT SETBACK… …20’ MIN SIDE SETBACK… …20’ MIN REAR SETBACK… …MAX BLDG HEIGHT 3 STORIES… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    FOR EVERY 30 FEET OF STREET FRONTAGE OR FRACTION THEREOF, ONE 2-INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.    FOR EVERY 50 FEET OF SITE FRONTAGE A DOUBLE-SIDED SIGN 24 X36' IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",1,-86.83731334,36.28056088,2380,37189,-9666685.503,4339295.106,Building Residential New
T2023060664,Building Residential - New,"Accessory Structure, Pools - Residential",131080R00200CO,8/25/2023 5:00,,167229,4417 B2 GRANNY WHITE PIKE,NASHVILLE,TN,UNIT 2 HOMES AT 4417 GRANNY WHITE PIKE,Kowboy Pool Company,CARN,CAA14U017,4370623,In-ground fiberglass pool installation,25,-86.80120166,36.09703583,2382,37204,-9662665.569,4313981.58,Building Residential New
